user_id,pred_date
62999,2017-04-01
84367,2017-04-01
96330,2017-04-01
60261,2017-04-01
35722,2017-04-01
39328,2017-04-01
75638,2017-04-01
719,2017-04-01
40088,2017-04-01
35265,2017-04-01
67675,2017-04-01
31019,2017-04-01
32662,2017-04-01
92424,2017-04-01
37590,2017-04-01
67349,2017-04-01
96010,2017-04-01
57254,2017-04-01
41732,2017-04-01
27018,2017-04-01
19916,2017-04-01
39171,2017-04-01
93392,2017-04-01
79640,2017-04-01
38005,2017-04-01
48085,2017-04-01
87290,2017-04-01
72833,2017-04-01
55220,2017-04-01
92007,2017-04-01
42322,2017-04-01
65739,2017-04-01
68572,2017-04-01
89869,2017-04-01
21370,2017-04-01
28403,2017-04-01
40141,2017-04-01
45760,2017-04-01
25591,2017-04-01
56459,2017-04-01
77548,2017-04-01
5458,2017-04-01
41041,2017-04-01
58493,2017-04-01
75600,2017-04-01
5224,2017-04-01
13985,2017-04-01
65113,2017-04-01
20302,2017-04-01
3871,2017-04-01
61220,2017-04-01
24300,2017-04-01
65797,2017-04-01
34565,2017-04-01
32345,2017-04-01
65968,2017-04-01
82437,2017-04-01
87946,2017-04-01
15322,2017-04-01
96364,2017-04-01
69995,2017-04-01
45082,2017-04-01
39039,2017-04-01
12463,2017-04-01
90125,2017-04-01
57515,2017-04-01
39654,2017-04-01
19680,2017-04-01
36667,2017-04-01
35964,2017-04-01
3914,2017-04-01
35436,2017-04-01
98127,2017-04-01
25599,2017-04-01
22959,2017-04-01
35584,2017-04-01
86243,2017-04-01
17825,2017-04-01
66110,2017-04-01
13696,2017-04-01
43965,2017-04-01
15109,2017-04-01
59363,2017-04-01
7116,2017-04-01
72905,2017-04-01
40076,2017-04-01
63723,2017-04-01
46427,2017-04-01
37230,2017-04-01
49395,2017-04-01
14422,2017-04-01
91658,2017-04-01
71051,2017-04-01
74032,2017-04-01
88564,2017-04-01
53717,2017-04-01
50108,2017-04-01
19373,2017-04-01
71688,2017-04-01
14398,2017-04-01
24504,2017-04-01
30703,2017-04-01
68056,2017-04-01
22965,2017-04-01
17604,2017-04-01
1555,2017-04-01
87379,2017-04-01
40184,2017-04-01
42597,2017-04-01
15605,2017-04-01
92506,2017-04-01
